0 1 2
0 1 3
4 1 2
4 1 3
4 1 5
6 1 5
6 1 7
8 9 10
8 11 12
8 13 14
8 1 2
8 1 7
8 1 15
16 11 17
16 1 5
18 19 20
21 22 20
21 1 7
23 1 7
23 24 3
25 1 5
26 1 3
26 1 7
26 24 3
26 13 27
26 13 28
26 11 29
26 1 15
26 30 31
26 22 20
26 1 2
32 33 34
32 33 35
32 33 36
32 33 17
32 33 37
32 33 38
32 33 39
32 33 40
32 33 41
32 33 29
32 33 42
32 33 43
32 33 44
32 33 45
32 33 46
32 33 47
32 33 12
32 33 48
32 33 49
32 33 50
32 33 51
52 1 5
53 54 55
56 1 15
56 1 57
58 13 28
58 9 10
58 1 3
58 13 59
58 1 15
58 1 7
58 1 5
60 1 2
60 1 7
60 1 3
60 1 5
60 13 28
60 13 27
60 24 3
61 1 3
62 1 2
63 1 7
63 1 5
63 1 15
63 9 10
63 13 64
65 13 27
66 24 3
66 1 3
66 13 67
66 1 2
66 13 64
68 13 69
68 24 70
71 1 5
71 11 36
71 22 72
71 1 15
71 13 14
71 24 3
71 13 28
71 13 73
74 11 51
74 1 7
74 24 3
74 1 3
74 1 2
75 1 7
75 13 64
75 1 2
75 22 76
77 1 5
77 1 15
77 13 64
78 24 3
78 13 64
78 1 15
78 22 76
78 13 69
78 1 3
79 80 81
82 83 84
82 22 76
82 11 45
82 1 2
82 13 85
82 1 3
86 1 3
86 1 7
86 1 15
86 9 10
86 83 84
86 83 87
88 1 2
88 83 84
88 1 7
89 11 42
89 1 5
89 83 84
89 90 91
89 13 14
89 9 10
89 1 15
89 1 7
89 83 92
93 1 2
93 1 7
93 13 94
93 11 12
93 9 10
93 90 91
95 24 3
95 13 67
95 96 87
95 22 76
95 1 2
95 1 5
95 1 7
95 9 10
97 1 3
97 90 91
97 1 5
97 9 10
97 24 3
98 99 49
100 1 101
102 1 3
102 13 14
102 1 15
102 83 87
102 13 103
102 83 92
104 1 15
105 1 3
105 90 91
105 90 106
105 1 7
105 9 10
105 13 107
105 1 2
105 83 92
105 1 15
105 13 108
105 11 37
105 13 27
105 13 28
105 83 84
109 24 3
109 83 84
109 1 15
109 90 91
109 96 110
109 1 7
109 9 10
111 1 5
112 1 2
112 22 76
112 13 64
112 83 87
112 96 110
112 83 84
112 1 3
113 11 51
113 1 5
113 1 7
113 1 3
113 90 106
113 24 3
114 24 3
114 1 5
114 1 15
114 90 110
114 9 10
114 1 7
114 13 14
114 13 73
114 83 92
114 13 64
114 11 45
114 90 115
116 1 2
116 90 110
116 1 5
116 83 92
116 90 117
116 13 28
116 83 84
116 1 7
116 90 115
116 83 87
116 13 118
116 90 106
116 22 76
116 90 119
116 1 3
120 1 121
122 1 15
122 96 110
122 1 3
122 1 7
122 24 3
122 13 27
122 9 10
123 1 15
123 22 124
123 83 92
123 1 2
123 1 7
123 11 12
123 1 3
125 11 50
125 96 119
125 1 7
125 24 3
125 83 84
125 1 2
126 1 15
126 24 3
126 83 87
126 83 84
127 83 92
127 24 3
127 1 3
127 96 110
127 9 10
128 1 5
128 90 84
128 90 91
128 9 10
128 90 92
128 90 106
128 1 2
128 90 87
129 1 2
129 1 7
129 11 45
129 96 119
129 83 87
129 24 3
129 9 10
130 11 34
130 9 10
130 1 3
130 22 131
130 22 76
130 24 3
130 83 92
132 1 2
132 1 7
132 11 50
132 1 5
132 9 10
133 1 5
133 90 117
133 83 84
133 1 2
133 90 110
133 13 64
133 83 87
133 1 3
133 11 49
133 13 28
133 83 92
133 90 134
133 22 76
133 1 7
133 90 115
135 1 2
135 13 69
136 1 3
136 1 5
136 13 69
137 1 3
137 13 73
137 90 119
137 83 84
137 22 76
137 1 2
137 1 5
137 90 115
137 90 91
137 13 14
137 13 64
137 1 7
137 96 110
137 1 15
138 11 45
138 24 3
138 90 110
138 1 5
138 90 117
138 13 73
138 1 7
138 90 119
138 1 15
138 9 10
138 90 91
138 83 84
138 13 139
138 1 2
140 9 10
141 24 3
141 1 3
142 96 106
142 1 5
142 96 134
143 9 10
143 1 2
143 1 7
144 11 45
144 1 2
144 90 117
144 1 7
144 22 76
144 1 3
144 83 92
144 1 15
144 9 10
144 83 84
144 24 3
144 90 91
144 13 118
144 13 145
146 1 7
146 1 5
146 13 118
146 13 64
146 13 107
146 1 2
146 24 3
146 11 147
146 1 15
146 83 87
146 90 148
146 9 10
146 22 76
146 1 3
146 83 92
149 90 87
149 96 110
149 13 69
149 90 84
149 90 115
149 1 5
149 1 7
149 13 64
149 83 84
149 1 3
149 90 91
149 1 2
149 83 92
150 9 10
150 96 84
150 96 87
150 1 3
150 1 7
150 13 69
150 11 45
151 13 103
151 1 2
151 22 124
151 24 3
152 1 3
152 83 92
152 24 3
152 83 87
153 1 15
153 90 115
153 96 119
153 90 154
153 9 10
153 83 84
153 13 69
153 1 3
153 1 7
153 22 20
153 1 5
153 13 28
153 90 117
155 83 92
155 24 3
155 96 110
155 1 5
155 1 2
155 11 45
155 1 3
155 9 10
156 83 84
156 90 115
156 90 117
156 90 106
156 11 38
156 13 64
156 1 5
156 96 110
156 90 91
156 83 87
156 22 76
156 90 154
156 90 119
156 1 2
156 1 15
157 1 5
158 1 15
158 1 2
159 9 10
159 13 27
159 24 3
160 1 2
161 9 10
161 24 3
162 1 5
162 22 94
162 1 7
162 24 3
162 13 94
162 1 101
162 13 163
162 13 28
164 1 7
165 13 27
166 1 7
167 22 124
168 1 169
168 1 2
170 1 15
170 83 84
170 24 3
170 1 7
170 90 115
170 11 51
170 83 92
170 90 106
170 13 73
171 1 15
171 11 44
171 22 76
171 1 2
172 24 3
172 1 2
172 11 173
172 83 87
172 83 84
174 90 91
174 90 115
174 1 2
174 13 67
174 90 175
174 1 5
174 1 7
174 96 110
174 13 64
174 90 154
174 90 87
174 90 84
174 83 92
174 24 3
176 11 45
176 1 7
176 9 10
177 1 2
178 13 73
178 22 76
178 24 3
178 9 10
178 13 28
178 1 2
178 96 92
178 1 3
179 11 45
179 83 92
179 83 87
179 90 91
179 13 73
179 90 180
179 9 10
179 83 84
179 1 15
179 13 181
179 24 3
179 1 7
182 1 5
182 1 101
183 22 76
183 24 3
183 13 28
183 1 2
183 11 147
183 1 5
184 1 3
184 90 106
184 90 117
184 1 15
184 90 91
184 11 51
185 96 175
185 1 15
185 90 115
185 9 10
185 1 5
185 1 2
186 1 5
186 96 119
186 83 92
186 96 110
186 24 3
187 1 2
188 1 5
189 9 10
189 1 2
189 83 92
189 90 91
189 90 117
189 1 7
189 11 51
189 83 84
190 13 64
190 1 7
191 1 2
192 13 28
193 1 2
194 96 175
194 90 91
194 1 15
194 90 117
194 11 51
194 83 84
194 1 5
194 83 87
195 1 2
195 1 7
195 1 3
195 1 5
195 13 69
195 24 3
195 83 92
195 11 51
196 13 197
196 1 5
196 11 40
196 83 87
196 30 198
196 24 3
196 1 3
196 9 10
196 1 2
196 13 139
196 13 199
200 1 15
200 1 3
201 24 3
202 1 15
203 1 7
203 1 3
204 1 5
204 1 2
204 11 36
205 9 10
206 1 15
207 9 10
208 13 28
208 1 2
209 1 7
210 1 3
211 1 7
211 13 64
212 24 213
214 13 69
215 1 7
216 1 121
217 13 139
218 22 124
218 1 5
219 1 5
220 24 213
221 1 2
221 1 3
222 11 45
223 1 15
224 1 5
225 9 10
225 1 7
226 22 76
226 1 3
226 1 2
227 24 3
228 1 121
228 99 229
230 1 2
230 13 231
230 22 232
230 13 28
230 1 5
230 1 70
230 1 7
230 1 101
230 24 3
230 11 45
230 9 10
230 1 3
230 1 15
233 1 121
234 1 235
236 1 57
236 1 70
236 19 76
236 1 101
237 1 5
237 24 238
237 1 238
239 13 240
239 9 10
239 11 50
239 1 5
239 1 7
239 1 3
239 22 76
239 24 3
239 30 240
239 1 15
241 1 5
242 80 243
244 1 15
245 80 81
246 24 247
248 1 2
248 1 213
249 54 55
249 1 7
250 1 15
251 1 213
252 1 7
253 80 243
253 1 247
254 1 7
254 255 256
257 80 243
258 80 243
258 1 5
259 255 260
261 1 5
262 1 2
263 1 15
264 1 235
264 1 121
264 1 7
264 265 266
267 1 5
267 1 247
267 80 243
267 54 55
267 1 7
267 1 213
268 1 15
269 80 243
270 24 238
270 19 76
270 1 5
271 24 247
271 255 272
273 1 7
273 24 3
273 13 139
273 9 10
273 30 103
273 13 103
273 30 198
273 1 2
274 80 243
274 24 213
274 1 15
274 255 243
274 1 5
274 1 2
275 1 247
276 80 243
277 1 7
278 54 55
278 1 247
279 1 2
280 1 213
280 80 81
280 1 2
280 80 243
280 1 5
280 24 213
281 1 7
281 1 5
281 282 283
281 1 121
284 1 121
284 285 45
284 1 286
284 265 266
284 1 7
284 1 235
284 1 287
284 99 45
288 1 7
288 1 121
288 265 266
288 99 12
288 1 289
290 24 247
290 54 55
290 1 2
291 255 243
291 1 247
292 1 2
293 1 286
293 1 287
293 285 294
293 265 266
293 99 49
293 295 53
293 1 7
293 1 296
293 1 121
293 1 235
297 265 266
297 1 121
297 1 235
297 99 36
298 19 76
298 1 238
298 1 70
299 1 70
299 300 14
299 19 76
299 300 301
299 24 238
299 1 2
299 1 238
302 1 7
302 1 2
302 1 303
304 99 45
305 1 7
305 265 266
305 99 306
305 1 121
305 1 235
305 1 287
305 1 286
307 1 7
308 1 235
308 1 121
309 9 310
309 1 2
309 311 76
309 1 5
312 1 2
312 1 5
313 1 314
313 9 315
313 1 7
316 1 7
316 19 76
316 24 238
316 1 238
317 1 2
318 22 319
320 1 2
320 1 7
321 9 10
321 1 7
322 13 67
322 13 323
322 13 139
322 11 51
322 1 5
322 30 324
322 24 3
322 30 118
322 1 15
322 9 10
325 1 7
326 285 327
328 1 7
328 329 283
330 19 76
330 1 2
331 1 15
331 13 163
331 1 7
331 9 10
331 1 5
331 1 3
331 11 45
331 13 198
331 13 139
332 1 7
332 1 303
332 333 334
335 24 3
335 13 118
335 1 5
335 13 145
335 13 199
335 1 15
335 30 40
335 83 92
335 30 336
335 13 27
335 1 3
335 13 73
335 13 139
335 1 7
335 83 84
335 22 336
335 11 40
335 9 10
337 1 15
337 300 145
338 24 238
339 1 2
339 30 340
339 13 340
339 13 27
339 11 37
339 1 341
339 13 118
339 1 5
339 13 28
339 1 7
339 1 3
339 9 10
339 30 118
342 24 70
342 1 5
342 54 55
343 1 238
344 1 15
345 1 15
345 300 301
345 1 346
347 1 2
347 1 5
347 1 15
348 1 3
348 9 349
348 1 2
348 13 28
348 13 163
348 22 20
350 1 2
350 30 118
350 13 351
350 1 3
350 22 76
350 30 352
350 1 5
350 13 352
350 1 341
350 13 353
350 1 15
350 24 3
354 11 355
354 83 92
354 1 101
354 1 5
354 83 84
354 9 356
354 11 357
354 13 28
354 24 70
354 1 15
358 1 341
358 1 2
358 30 28
358 24 3
358 22 76
358 1 3
358 13 340
358 13 118
358 13 145
358 1 7
359 1 238
360 9 310
360 1 15
360 361 362
360 1 7
363 1 70
363 1 101
363 300 340
364 1 15
365 1 7
365 9 356
366 367 45
366 1 169
366 1 15
366 22 76
366 1 3
368 22 369
368 11 370
368 24 371
372 22 76
372 1 5
372 1 2
372 30 373
372 13 27
372 30 357
372 13 59
372 13 373
372 13 139
372 1 3
372 9 10
372 30 198
372 1 15
372 13 103
372 24 3
372 13 14
372 1 341
372 1 289
372 1 101
374 1 7
374 1 375
374 99 12
374 265 266
374 1 121
376 377 5
376 377 15
378 1 2
378 1 7
378 377 7
379 30 198
379 11 36
379 1 289
379 83 92
379 30 72
379 30 118
379 11 380
379 13 381
379 24 70
379 13 118
379 1 15
379 1 3
379 1 382
379 9 356
379 1 7
379 1 5
379 383 384
379 83 84
379 83 87
379 13 103
379 13 28
379 1 70
379 13 139
379 22 76
379 22 72
379 30 36
379 1 2
379 1 101
379 1 341
379 13 385
386 1 2
387 265 266
387 1 287
387 99 37
387 388 389
387 1 286
387 1 375
387 285 389
387 1 7
387 1 390
387 1 235
387 1 391
387 1 121
392 1 382
392 1 5
393 1 15
393 311 76
394 1 5
394 1 169
394 361 67
394 1 15
395 13 118
395 24 396
395 90 110
395 1 5
395 1 382
395 90 117
395 90 134
395 30 118
395 9 349
395 22 76
395 1 2
395 83 92
395 1 101
395 90 115
395 13 28
395 90 154
395 13 59
395 90 91
395 83 84
395 1 3
395 1 341
395 1 7
395 1 396
397 1 238
397 300 301
397 1 5
397 300 385
398 1 121
398 1 391
398 99 229
398 1 390
399 13 27
399 1 341
399 1 15
399 13 73
399 11 37
399 1 3
399 24 3
399 1 2
399 13 28
399 13 353
399 11 400
399 9 10
399 22 232
401 24 238
402 11 37
402 9 10
402 30 403
402 1 101
402 1 3
402 13 28
402 11 45
402 1 7
402 1 5
402 30 20
402 22 20
404 1 391
404 1 375
404 1 390
404 285 405
404 99 45
404 265 266
406 300 197
406 19 76
407 13 139
407 13 103
407 22 76
407 1 2
407 13 28
408 1 2
409 1 101
409 13 14
409 11 45
409 1 341
409 9 310
409 24 169
409 1 169
410 1 7
410 1 15
410 22 76
410 24 169
410 1 101
411 1 7
411 13 64
411 24 3
412 1 5
413 1 2
413 22 76
413 1 5
413 1 15
413 1 3
413 13 198
413 1 382
413 24 3
413 9 10
413 30 362
414 24 238
414 19 76
415 22 76
415 1 7
416 9 10
416 13 85
416 1 15
416 1 3
416 1 7
416 11 36
417 1 341
417 1 2
417 361 198
417 9 310
417 361 103
417 24 169
417 1 5
417 1 101
417 311 76
418 1 2
418 30 28
418 83 92
418 13 381
418 11 306
418 1 101
418 22 419
418 1 15
418 22 76
418 30 420
418 83 84
418 1 7
418 13 28
418 13 103
418 1 5
418 9 10
418 1 341
418 11 421
422 367 45
423 1 7
423 13 198
423 13 28
423 1 3
423 30 198
423 1 15
423 11 45
423 30 14
423 1 2
423 13 14
423 24 3
423 22 76
424 1 5
424 11 50
424 1 7
424 9 10
424 24 3
424 83 92
425 96 134
425 1 2
425 9 10
425 22 76
425 1 3
425 96 91
425 1 5
425 13 69
425 96 110
426 9 310
427 83 92
427 1 5
427 13 340
427 13 85
427 1 7
427 13 28
427 83 84
427 11 428
427 83 87
429 1 341
429 1 3
429 83 87
429 1 5
429 13 73
429 24 3
429 13 27
429 30 420
429 83 92
429 1 7
429 83 84
429 1 15
429 11 40
429 30 336
429 13 139
430 1 341
430 1 5
430 1 7
430 1 3
430 1 15
430 9 10
430 30 85
430 1 2
430 11 45
430 13 85
431 1 57
432 1 5
432 1 15
432 1 346
433 13 434
433 13 27
433 13 118
433 1 5
433 13 28
433 1 15
433 30 199
433 1 7
433 1 3
433 13 73
433 30 435
433 13 199
433 9 10
433 24 3
433 30 40
433 30 436
433 22 336
433 83 84
433 30 420
433 11 40
437 311 76
437 24 169
438 24 3
438 1 3
438 96 119
438 83 84
438 1 5
438 1 7
438 11 40
438 9 10
439 1 15
439 24 238
440 22 76
440 13 28
440 11 36
440 13 14
440 11 50
440 24 3
440 13 59
440 9 10
441 22 76
441 1 382
441 1 15
441 1 7
441 1 5
442 361 443
442 361 14
442 1 7
442 367 50
442 1 5
442 1 169
444 13 28
444 13 108
444 96 110
444 1 15
444 9 10
444 1 7
444 1 5
444 96 119
444 24 3
445 1 3
445 1 15
445 1 341
445 30 28
445 22 76
445 9 10
445 1 2
445 13 28
446 19 76
446 1 70
446 1 346
446 300 340
446 1 2
446 1 238
447 1 2
447 1 5
448 1 289
448 285 327
448 1 449
450 1 5
451 1 2
451 90 91
451 9 356
451 1 70
451 1 341
451 30 85
451 22 76
451 1 101
451 13 118
451 24 70
451 1 3
451 1 5
451 13 85
451 13 353
451 1 15
451 13 340
451 1 7
452 311 336
452 1 101
452 1 2
452 361 28
453 1 2
454 96 119
454 1 15
454 13 118
454 24 3
454 1 2
454 96 134
454 1 5
454 83 84
454 11 40
455 1 2
455 30 198
